"","Metabolite","Estimate","SE","Pval","Method"
"22","Glc",0.0730025328438765,0.0326753351423514,0.0254713273032253,"Maximum likelihood"
"11","UNK.Average.number.of.methylene.groups.in.a.fatty.acid.chain",0.055691470358699,0.0327512462914038,0.0890485312157949,"Maximum likelihood"
"82","Phe",0.0480420586921302,0.0295826387163368,0.104376866073512,"Maximum likelihood"
"102","UNK.Urea",-0.0510326406079123,0.0326877629061608,0.118472923868144,"Maximum likelihood"
"80","UNK.Other.polyunsaturated.fatty.acids.than.18.2",-0.0578335601850327,0.0375969332586226,0.123986995440844,"Maximum likelihood"
"10","UNK.Average.number.of.methylene.groups.per.double.bond",0.0552271885168916,0.037546763866482,0.14132065846784,"Maximum likelihood"
"49","L.VLDL.C",0.0460567117070371,0.0316924917247579,0.146157873864986,"Maximum likelihood"
"26","Gp",0.0452631826173344,0.0314997725126111,0.150735949504537,"Maximum likelihood"
"65","M.HDL.P",-0.0443532940862198,0.031578738728134,0.160161007644749,"Maximum likelihood"
"64","M.HDL.L",-0.0438758521954806,0.031420362914983,0.162589693656354,"Maximum likelihood"
"63","M.HDL.FC",-0.0430135182105338,0.0308240469643333,0.16287918651914,"Maximum likelihood"
"62","M.HDL.CE",-0.0438495175121106,0.0314836473064028,0.163688987430056,"Maximum likelihood"
"66","M.HDL.PL",-0.0406834891057173,0.0303807014307518,0.180530708373828,"Maximum likelihood"
"61","M.HDL.C",-0.0401836629903115,0.0304676714295082,0.187204179772445,"Maximum likelihood"
"51","L.VLDL.FC",0.0406394779212358,0.0313551363653166,0.194940093709356,"Maximum likelihood"
"18","FAw3.FA",-0.0485038472233971,0.0385823409276379,0.20869878674881,"Maximum likelihood"
"95","SM",0.0392247535883167,0.036839950932243,0.286996254684003,"Maximum likelihood"
"98","SM",0.0392247535883167,0.036839950932243,0.286996254684003,"Maximum likelihood"
"54","L.VLDL.PL",0.0325514704317162,0.0306482051444292,0.288190116118106,"Maximum likelihood"
"78","M.VLDL.TG",0.0319003005505689,0.0305366271760935,0.296181537088778,"Maximum likelihood"
"55","L.VLDL.TG",0.0312403373753928,0.0309571118313922,0.312903197836905,"Maximum likelihood"
"83","Pyr",0.0289660220350082,0.0296436413571272,0.328499274210963,"Maximum likelihood"
"17","UNK.Description.of.average.fatty.acid.chain.length.not.actual.carbon.number",0.0355108032132714,0.0367583670354791,0.334013952269769,"Maximum likelihood"
"8","Ratio.of.bisallylic.groups.to.fatty.acids",-0.0335256543230207,0.0376377115168315,0.373065260584243,"Maximum likelihood"
"7","Ratio.of.bisallylic.groups.to.double.bonds",-0.0331275584610903,0.0372608735390835,0.373964975748713,"Maximum likelihood"
"85","S.HDL.P",-0.0274058311494874,0.0309524543270587,0.37593173386514,"Maximum likelihood"
"77","M.VLDL.PL",0.0266180399086412,0.0304222088279667,0.381598817117616,"Maximum likelihood"
"52","L.VLDL.L",0.027254609858988,0.0317218238609202,0.390243767978611,"Maximum likelihood"
"74","M.VLDL.FC",0.024887941977936,0.0302874278742159,0.411233327620278,"Maximum likelihood"
"84","S.HDL.L",-0.0255055107698089,0.0310781596601003,0.411823309770239,"Maximum likelihood"
"13","Crea",-0.0236650131173397,0.0292081447347693,0.417813939655741,"Maximum likelihood"
